Event Name,Quantity,Attendee Status,Speaker Twitter Followers,Institution Twitter Followers
14th Librarian of Congress Dr. Carla Hayden at the Berkeley Forum,185,0.5297297297,46200,1070000
ACLU President Susan Herman at the Berkeley Forum,108,0.2592592593,772,1330000
"Activism in Berkeley, Then and Now: Mayor of Berkeley Tom Bates at the Berkeley Forum",27,0.07407407407,1521,7248
Animal Rights Legal Scholar Steven Wise at the Berkeley Forum,62,0.4677419355,,
Artistic Director of the American Conservatory Theater Carey Perloff at the Berkeley Forum,52,0.2307692308,465,8429
Assistant Professor at the Middlebury Institute of International Studies at Monterey Philipp Bleek at the Berkeley Forum,94,0.2446808511,129,8075
"Associate Professor and Associate Dean, Goldman School of Public Policy Jack Glaser at the Berkeley Forum",56,0.3214285714,622,2825
Bharata Natyam Classical Dancer Mythili Prakash at the Berkeley Forum,25,0.72,,
CEO and Co-Founder of FiscalNote Timothy Hwang at the Berkeley Fourm,53,0.2641509434,355,4409
CEO at Women Who Code Alaina Percival at the Berkeley Forum,69,0.3043478261,4356,150000
Chancellor Nicholas Dirks and EVCP Claude Steele at the Berkeley Forum,282,0.3723404255,3477,129000
Charles Murray at The Berkeley Forum,92,0.3152173913,,
Chief Justice of California Tani Cantil-Sakauye at the Berkeley Forum,152,0.4144736842,,
Chief Science Officer at SENS Research Foundation Aubrey de Grey at the Berkeley Forum,164,0.3719512195,38100,25900
Civil Rights Lawyer and Activist Alec Karakatsanis at the Berkeley Forum,293,0.2184300341,,
Co-Founder of Podium Alix Generous at the Berkeley Forum,43,0.4186046512,911,330
Co-Host of The Young Turks Ana Kasparian at the Berkeley Forum,224,0.4241071429,230000,324000
Co-founder of the N0H8 Campaign Adam Bouska at the Berkeley Forum,37,0,898000,950000
Constitutional Law Expert Akhil Amar at the Berkeley Forum,91,0.4615384615,,"47,700"
Corporate Vice President of Microsoft Research Jeannette Wing at the Berkeley Forum,96,0.3541666667,1,8240000
Criminal Justice Reform Advocate Sunny Schwartz at the Berkeley Forum,61,0.4426229508,501,
